AG01,Collaborative Studio,Dean Faculty of Information Technology
AG02,HDR Office,Dean Faculty of Information Technology
AG03,Seminar-workshop,Dean Faculty of Information Technology
AG04,Meeting Rm,Dean Faculty of Information Technology
AG05,Office                          ,Dean Faculty of Information Technology
AG06,Office                          ,Dean Faculty of Information Technology
AG07,Office                          ,Dean Faculty of Information Technology
AG08,Office                          ,Dean Faculty of Science
AG09,Open Office                     ,Dean Faculty of Information Technology
AG11,Meeting                         ,Dean Faculty of Information Technology
AG12,Office                          ,Dean Faculty of Information Technology
AG13,Office                          ,Dean Faculty of Science
AG14,Store                           ,Dean Faculty of Science
AG15,Copy Store                      ,Dean Faculty of Science
AG16,Tutorial Rm,MONASH UNIVERSITY
AG18,Tutorial Rm,MONASH UNIVERSITY
BG01,Office                          ,MONASH STUDENT ORGANISATIONS
BG01A,Tutorial room,MONASH STUDENT ORGANISATIONS
BG02,Workshop,MONASH STUDENT ORGANISATIONS
BG02A,Seminar-workshop,MONASH STUDENT ORGANISATIONS
BG03,Staff Lounge                    ,MONASH UNIVERSITY
BG04,Kitchen                         ,MONASH UNIVERSITY
BG05,Office                          ,MONASH UNIVERSITY
BG06,Office                          ,Dean Faculty of Information Technology
BG07,Office                          ,Dean Faculty of Information Technology
BG08,Office                          ,Dean Faculty of Information Technology
BG09,Copy Store                      ,Dean Faculty of Information Technology
BG10,Research Office                 ,Dean Faculty of Information Technology
BG11,Open Office                     ,Dean Faculty of Information Technology
BG12,Board Rm                        ,Dean Faculty of Information Technology
BG13,Meeting Rm                      ,Dean Faculty of Information Technology
BG14,Office                          ,Dean Faculty of Information Technology
BG15,Tutorial Rm                     ,MONASH UNIVERSITY
BG20,Male Toilet,Non UFA                                      
BG21,Female Toilet,Non UFA                                      
CG01,Tutorial Rm,Reserved Spaces
CG01A,Tutorial (Offline),Reserved Spaces
CG02,Tutorial Rm,Reserved Spaces
CG02A,Tutorial (Offline),Reserved Spaces
CG03,Student Kitchen                 ,MONASH UNIVERSITY
CG04,Accessible Toilet,Non UFA                                      
CG05,Male Toilet                     ,Non UFA                                      
CG06,Female Toilet                   ,Non UFA                                      
CG07,Kitchen                         ,MONASH UNIVERSITY
CG08,Male Toilet                     ,Non UFA                                      
CG09,Female Toilet,Non UFA                                      
CG10,Computer Lab,Dean Faculty of Information Technology
CG11,Computer Lab,Dean Faculty of Information Technology
CG12,Computer Lab,Dean Faculty of Information Technology
CG13,Computer Lab,Dean Faculty of Information Technology
CG20,Computer Lab,Dean Faculty of Information Technology
CG21,Computer Lab,Dean Faculty of Information Technology
CG22,Computer Lab,Dean Faculty of Information Technology
CG23,Computer Lab,Dean Faculty of Information Technology
PS01,Passage01                       ,Non UFA                                      
PS02,Passage02                       ,Non UFA                                      
VD01,VOID 01                         ,Non UFA                                      
VD02,VOID 02                         ,Non UFA                                      
VD03,VOID 03                         ,Non UFA                                      
VD04,VOID 04                         ,Non UFA                                      
